id,status,needs_review,review_reasons,title,location,postcode,price_eur,double_beds,url,thumbnail_url,first_seen,last_seen
daft-6035838,active,True,double_bed_count_not_visible_in_email,"Mayor Square, Mayor Street Lower, IFSC, Dublin 1","IFSC, Dublin 1",Dublin 1,250,,https://www.daft.ie/for-rent/mayor-square-mayor-street-lower-ifsc-dublin-1/6035838,,2026-07-09,2026-07-09
daft-6139765,active,True,double_bed_count_not_visible_in_email,"Stoneybatter Place, Rope Walk, Stoneybatter, Dublin 7","Stoneybatter, Dublin 7",Dublin 7,303,,https://www.daft.ie/for-rent/stoneybatter-place-rope-walk-20-stoneybatter-dublin-7-d07-np2k-dublin-7/6139765,,2026-07-09,2026-07-09
daft-6553956,active,False,,"Grangegorman, Grangegorman Lower, Dublin 7","Grangegorman Lower, Dublin 7",Dublin 7,326,1,https://www.daft.ie/for-rent/grangegorman-grangegorman-lower-dublin-7/6553956,,2026-07-09,2026-07-09
daft-5382570,active,True,double_bed_count_not_visible_in_email,"Archway Court Student Accommodation, Mountjoy St, Dublin 1","Mountjoy St, Dublin 1",Dublin 1,550,,https://www.daft.ie/for-rent/archway-court-student-accommodation-mountjoy-st-dublin-1-co-dublin/5382570,,2026-07-09,2026-07-09
daft-6613117,active,False,,"103 The Thatch Road, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,740,1,https://www.daft.ie/for-rent/103-the-thatch-road-beaumont-dublin-9/6613117,,2026-07-09,2026-07-09
daft-3248977,active,True,double_bed_count_not_visible_in_email,"The Belfry Student Accommodation, 365 Collins Avenue, Whitehall, Dublin 9","Whitehall, Dublin 9",Dublin 9,786,,https://www.daft.ie/for-rent/the-belfry-student-accommodation-365-collins-avenue-whitehall-co-dublin/3248977,,2026-07-09,2026-07-09
daft-6611573,active,True,double_bed_count_not_visible_in_email,"Emerald Street, Dublin 1 [house share]","Emerald Street, Dublin 1",Dublin 1,850,,https://www.daft.ie/for-rent/emerald-street-dublin-1-house-share-/6611573,,2026-07-09,2026-07-09
daft-6557212,active,False,,"(Double Room/House Share) Colepark Road, Ballyfermot, Dublin 10 – ROOM I","Ballyfermot, Dublin 10",Dublin 10,1000,1,https://www.daft.ie/for-rent/-double-room-house-share-colepark-road-ballyfermot-dublin-10-room-i/6557212,,2026-07-09,2026-07-09
daft-6616306,active,False,,"Cedarbrook Place, Cherry Orchard, Dublin 10","Cherry Orchard, Dublin 10",Dublin 10,1100,1,https://www.daft.ie/for-rent/cedarbrook-place-cherry-orchard-dublin-10/6616306,,2026-07-09,2026-07-09
daft-6613565,active,True,double_bed_count_not_visible_in_email,"Cherryfield, Dublin 12, Walkinstown, Dublin 12","Walkinstown, Dublin 12",Dublin 12,1100,,https://www.daft.ie/for-rent/cherryfield-dublin-12-walkinstown-dublin-12/6613565,,2026-07-09,2026-07-09
daft-6616769,active,True,double_bed_count_not_visible_in_email,"Flat 7, 67 Rathgar Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1150,,https://www.daft.ie/for-rent/flat-7-67-rathgar-road-rathgar-dublin-6/6616769,,2026-07-09,2026-07-09
daft-6610003,active,False,,"Dromawling, Beaumont, Dublin 9, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1150,1,https://www.daft.ie/for-rent/dromawling-beaumont-dublin-9-beaumont-dublin-9/6610003,,2026-07-09,2026-07-09
daft-6614182,active,True,double_bed_count_not_visible_in_email,"Dodder Park Road, Rathfarnham, Co. Dublin","Rathfarnham, Dublin 14",Dublin 14,1165,,https://www.daft.ie/for-rent/dodder-park-road-rathfarnham-co-dublin/6614182,,2026-07-09,2026-07-09
daft-6598648,active,False,,"43 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1175,1,https://www.daft.ie/for-rent/43-north-circular-road-north-circular-road-dublin-7/6598648,,2026-07-09,2026-07-09
daft-6616654,active,True,double_bed_count_not_visible_in_email,"Rathfarnham, Templeogue, Dublin 14","Rathfarnham / Templeogue, Dublin 14",Dublin 14,1200,,https://www.daft.ie/for-rent/rathfarnham-templeogue-dublin-14/6616654,,2026-07-09,2026-07-09
daft-6615724,active,True,double_bed_count_not_visible_in_email,"Cromwellsfort Road, Dublin 12, Crumlin, Dublin 12","Crumlin, Dublin 12",Dublin 12,1200,,https://www.daft.ie/for-rent/cromwellsfort-road-dublin-12-crumlin-dublin-12/6615724,,2026-07-09,2026-07-09
daft-6564653,active,True,double_bed_count_not_visible_in_email,"Flat 9, 1 Church Avenue, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1250,,https://www.daft.ie/for-rent/flat-9-1-church-avenue-rathmines-dublin-6/6564653,,2026-07-09,2026-07-09
daft-6616448,active,False,,"Cedarbrook Place, Cherry Orchard, Dublin 10","Cherry Orchard, Dublin 10",Dublin 10,1300,1,https://www.daft.ie/for-rent/cedarbrook-place-cherry-orchard-dublin-10/6616448,,2026-07-09,2026-07-09
daft-6617372,active,True,double_bed_count_not_visible_in_email,"Leinster Square, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1300,,https://www.daft.ie/for-rent/leinster-square-rathgar-dublin-6/6617372,,2026-07-09,2026-07-09
daft-6617209,active,True,double_bed_count_not_visible_in_email,"46 Beechwood Avenue Lower, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1300,,https://www.daft.ie/for-rent/46-beechwood-avenue-lower-ranelagh-dublin-6/6617209,,2026-07-09,2026-07-09
daft-6590392,active,True,double_bed_count_not_visible_in_email,"Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1300,,https://www.daft.ie/for-rent/rathmines-dublin-6/6590392,,2026-07-09,2026-07-09
