id,url,title,location,postcode,price_eur,double_beds,thumbnail_url,first_seen,last_seen,status
daft-6616744,https://www.daft.ie/for-rent/portobello-dock-portobello-dublin-8/6616744,"Portobello Dock, Portobello, Dublin 8","Portobello Dock, Portobello, Dublin 8",Dublin 8,1500,,,2026-07-09,2026-07-09,active
daft-6617445,https://www.daft.ie/for-rent/south-circular-road-dublin-8-dolphins-barn-dublin-8/6617445,"South Circular Road, Dublin 8, Dolphin's Barn, Dublin 8","Dolphin's Barn, Dublin 8",Dublin 8,1500,,,2026-07-09,2026-07-09,active
daft-6617372,https://www.daft.ie/for-rent/leinster-square-rathgar-dublin-6/6617372,"Leinster Square, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1300,,,2026-07-09,2026-07-09,active
daft-6617209,https://www.daft.ie/for-rent/46-beechwood-avenue-lower-ranelagh-dublin-6/6617209,"46 Beechwood Avenue Lower, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1300,,,2026-07-09,2026-07-09,active
daft-6617121,https://www.daft.ie/for-rent/richmond-hill-dublin-6-rathmines-dublin-6/6617121,"Richmond Hill, Dublin 6, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6617074,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617074,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1495,,,2026-07-09,2026-07-09,active
daft-6617065,https://www.daft.ie/for-rent/north-circular-road-dublin-7/6617065,"North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,,,2026-07-09,2026-07-09,active
daft-6616845,https://www.daft.ie/for-rent/5-nelson-street-north-circular-road-dublin-7/6616845,"5 Nelson Street, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1325,,,2026-07-09,2026-07-09,active
daft-6616769,https://www.daft.ie/for-rent/flat-7-67-rathgar-road-rathgar-dublin-6/6616769,"Flat 7, 67 Rathgar Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1150,,,2026-07-09,2026-07-09,active
daft-6616654,https://www.daft.ie/for-rent/rathfarnham-templeogue-dublin-14/6616654,"Rathfarnham, Templeogue, Dublin 14","Rathfarnham / Templeogue, Dublin 14",Dublin 14,1200,,,2026-07-09,2026-07-09,active
daft-6616448,https://www.daft.ie/for-rent/cedarbrook-place-cherry-orchard-dublin-10/6616448,"Cedarbrook Place, Cherry Orchard, Dublin 10","Cherry Orchard, Dublin 10",Dublin 10,1300,1,,2026-07-09,2026-07-09,active
daft-6616306,https://www.daft.ie/for-rent/cedarbrook-place-cherry-orchard-dublin-10/6616306,"Cedarbrook Place, Cherry Orchard, Dublin 10","Cherry Orchard, Dublin 10",Dublin 10,1100,1,,2026-07-09,2026-07-09,active
daft-6615724,https://www.daft.ie/for-rent/cromwellsfort-road-dublin-12-crumlin-dublin-12/6615724,"Cromwellsfort Road, Dublin 12, Crumlin, Dublin 12","Crumlin, Dublin 12",Dublin 12,1200,,,2026-07-09,2026-07-09,active
daft-6614532,https://www.daft.ie/for-rent/9-orwell-road-rathgar-dublin-6/6614532,"9 Orwell Road, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1490,,,2026-07-09,2026-07-09,active
daft-6614745,https://www.daft.ie/for-rent/144-church-street-smithfield-dublin-7/6614745,"144 Church Street, Smithfield, Dublin 7","Smithfield, Dublin 7",Dublin 7,1400,1,,2026-07-09,2026-07-09,active
daft-6614454,https://www.daft.ie/for-rent/flat-3-53-belgrave-square-north-rathmines-dublin-6/6614454,"Flat 3, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6614424,https://www.daft.ie/for-rent/flat-2-53-belgrave-square-north-rathmines-dublin-6/6614424,"Flat 2, 53 Belgrave Square North, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6614378,https://www.daft.ie/for-rent/charleville-road-north-circular-road-dublin-7/6614378,"Charleville Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1425,,,2026-07-09,2026-07-09,active
daft-6614332,https://www.daft.ie/for-rent/apartment-1-55-rathmines-road-upper-rathgar-dublin-6/6614332,"Apartment 1, 55 Rathmines Road Upper, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6614182,https://www.daft.ie/for-rent/dodder-park-road-rathfarnham-co-dublin/6614182,"Dodder Park Road, Rathfarnham, Co. Dublin","Rathfarnham, Dublin 14",Dublin 14,1165,,,2026-07-09,2026-07-09,active
daft-6613565,https://www.daft.ie/for-rent/cherryfield-dublin-12-walkinstown-dublin-12/6613565,"Cherryfield, Dublin 12, Walkinstown, Dublin 12","Walkinstown, Dublin 12",Dublin 12,1100,,,2026-07-09,2026-07-09,active
daft-6613255,https://www.daft.ie/for-rent/ranelagh-road-dublin-6-ranelagh-dublin-6/6613255,"Ranelagh Road, Dublin 6, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1500,1,,2026-07-09,2026-07-09,active
daft-6613117,https://www.daft.ie/for-rent/103-the-thatch-road-beaumont-dublin-9/6613117,"103 The Thatch Road, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,740,1,,2026-07-09,2026-07-09,active
daft-6612884,https://www.daft.ie/for-rent/apartment-6-55-rathmines-road-upper-rathmines-dublin-6/6612884,"Apartment 6, 55 Rathmines Road Upper, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,1,,2026-07-09,2026-07-09,active
daft-6611573,https://www.daft.ie/for-rent/emerald-street-dublin-1-house-share-/6611573,"Emerald Street, Dublin 1 [house share]","Emerald Street, Dublin 1",Dublin 1,850,,,2026-07-09,2026-07-09,active
daft-6610003,https://www.daft.ie/for-rent/dromawling-beaumont-dublin-9-beaumont-dublin-9/6610003,"Dromawling, Beaumont, Dublin 9, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1150,1,,2026-07-09,2026-07-09,active
daft-6609867,https://www.daft.ie/for-rent/rathdown-road-dublin-7/6609867,"Rathdown Road, Dublin 7",Dublin 7,Dublin 7,1400,,,2026-07-09,2026-07-09,active
daft-6605369,https://www.daft.ie/for-rent/40-leinster-road-rathmines-rathmines-dublin-6/6605369,"40 Leinster Road, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6604547,https://www.daft.ie/for-rent/flat-6-238-north-circular-road-north-circular-road-dublin-7/6604547,"Flat 6, 238 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1475,,,2026-07-09,2026-07-09,active
daft-6598648,https://www.daft.ie/for-rent/43-north-circular-road-north-circular-road-dublin-7/6598648,"43 North Circular Road, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1175,1,,2026-07-09,2026-07-09,active
daft-6584957,https://www.daft.ie/for-rent/north-circular-road-dublin-7-north-circular-road-dublin-7/6584957,"North Circular Road, Dublin 7, North Circular Road, Dublin 7","North Circular Road, Dublin 7",Dublin 7,1350,1,,2026-07-09,2026-07-09,active
daft-6595545,https://www.daft.ie/for-rent/flat-6-2-maxwell-road-dublin-6-rathgar-dublin-6/6595545,"Flat 6, 2 Maxwell Road, Dublin 6, Rathgar, Dublin 6","Rathgar, Dublin 6",Dublin 6,1500,,,2026-07-09,2026-07-09,active
daft-6592602,https://www.daft.ie/for-rent/north-circular-road-dublin-1/6592602,"North Circular Road, Dublin 1","North Circular Road, Dublin 1",Dublin 1,1450,,,2026-07-09,2026-07-09,active
daft-6591721,https://www.daft.ie/for-rent/sundrive-road-dublin-12/6591721,"Sundrive Road, Dublin 12","Sundrive Road, Dublin 12",Dublin 12,1400,1,,2026-07-09,2026-07-09,active
daft-6590392,https://www.daft.ie/for-rent/rathmines-dublin-6/6590392,"Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1300,,,2026-07-09,2026-07-09,active
daft-6589180,https://www.daft.ie/for-rent/elm-mount-beaumont-dublin-9/6589180,"Elm Mount, Beaumont, Dublin 9","Beaumont, Dublin 9",Dublin 9,1500,1,,2026-07-09,2026-07-09,active
daft-6585762,https://www.daft.ie/for-rent/44-merton-drive-ranelagh-ranelagh-dublin-6/6585762,"44 Merton Drive, Ranelagh, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1300,,,2026-07-09,2026-07-09,active
daft-6582987,https://www.daft.ie/for-rent/flat-3-37-leeson-street-upper-ballsbridge-dublin-4/6582987,"Flat 3, 37 Leeson Street Upper, Ballsbridge, Dublin 4","Ballsbridge, Dublin 4",Dublin 4,1500,,,2026-07-09,2026-07-09,active
daft-6577262,https://www.daft.ie/for-rent/echlin-buildings-echlin-street-dublin-8/6577262,"Echlin Buildings, Echlin Street, Dublin 8","Echlin Street, Dublin 8",Dublin 8,1500,1,,2026-07-09,2026-07-09,active
daft-6562672,https://www.daft.ie/for-rent/harrington-street-portobello-co-dublin/6562672,"Harrington Street, Portobello, Dublin 8","Portobello, Dublin 8",Dublin 8,1320,,,2026-07-09,2026-07-09,active
daft-6564653,https://www.daft.ie/for-rent/flat-9-1-church-avenue-rathmines-dublin-6/6564653,"Flat 9, 1 Church Avenue, Rathmines, Dublin 6","Rathmines, Dublin 6",Dublin 6,1250,,,2026-07-09,2026-07-09,active
daft-6557212,https://www.daft.ie/for-rent/-double-room-house-share-colepark-road-ballyfermot-dublin-10-room-i/6557212,"(Double Room/House Share) Colepark Road, Ballyfermot, Dublin 10 – ROOM I","Ballyfermot, Dublin 10",Dublin 10,1000,1,,2026-07-09,2026-07-09,active
daft-6553956,https://www.daft.ie/for-rent/grangegorman-grangegorman-lower-dublin-7/6553956,"Grangegorman, Grangegorman Lower, Dublin 7","Grangegorman Lower, Dublin 7",Dublin 7,326,1,,2026-07-09,2026-07-09,active
